ds,sg,n_img,t_id,node1,edge,node2
Town02_max_car,Town02_max_car/11_frame_5933.png,263,0,Ego Lane,isIn,Root Road
Town02_max_car,Town02_max_car/11_frame_5933.png,263,1,ego,isIn,Ego Lane
Town02_max_car,Town02_max_car/9_frame_3093.png,335,0,Ego Lane,isIn,Root Road
Town02_max_car,Town02_max_car/9_frame_3093.png,335,1,ego,isIn,Ego Lane
Town02_max_car,Town02_max_car/9_frame_3093.png,335,2,ego,atDRearOf,car_1
Town02_max_car,Town02_max_car/9_frame_3093.png,335,3,ego,toRightOf,car_1
Town02_max_car,Town02_max_car/9_frame_3093.png,335,4,ego,super_near,car_1
Town02_max_car,Town02_max_car/9_frame_3093.png,335,5,ego,atDRearOf,car_2
Town02_max_car,Town02_max_car/9_frame_3093.png,335,6,ego,toRightOf,car_2
Town02_max_car,Town02_max_car/9_frame_3093.png,335,7,ego,visible,car_2
Town02_max_car,Town02_max_car/9_frame_3093.png,335,8,ego,atDRearOf,truck_0
Town02_max_car,Town02_max_car/9_frame_3093.png,335,9,ego,toRightOf,truck_0
Town02_max_car,Town02_max_car/9_frame_3093.png,335,10,ego,near,truck_0
Town02_max_car,Town02_max_car/9_frame_3093.png,335,11,truck_0,isIn,Ego Lane
Town02_max_car,Town02_max_car/9_frame_3093.png,335,12,truck_0,near,ego
Town02_max_car,Town02_max_car/9_frame_3093.png,335,13,truck_0,inSFrontOf,ego
Town02_max_car,Town02_max_car/9_frame_3093.png,335,14,truck_0,toRightOf,ego
Town02_max_car,Town02_max_car/9_frame_3093.png,335,15,car_0,isIn,Ego Lane
Town02_max_car,Town02_max_car/9_frame_3093.png,335,16,car_1,isIn,Ego Lane
Town02_max_car,Town02_max_car/9_frame_3093.png,335,17,car_1,super_near,ego
Town02_max_car,Town02_max_car/9_frame_3093.png,335,18,car_1,inDFrontOf,ego
Town02_max_car,Town02_max_car/9_frame_3093.png,335,19,car_1,toRightOf,ego
Town02_max_car,Town02_max_car/9_frame_3093.png,335,20,car_2,isIn,Ego Lane
Town02_max_car,Town02_max_car/9_frame_3093.png,335,21,car_2,visible,ego
Town02_max_car,Town02_max_car/9_frame_3093.png,335,22,car_2,inSFrontOf,ego
Town02_max_car,Town02_max_car/9_frame_3093.png,335,23,car_2,toRightOf,ego
Town02_max_car,Town02_max_car/15_frame_3521.png,281,0,Ego Lane,isIn,Root Road
Town02_max_car,Town02_max_car/15_frame_3521.png,281,1,ego,isIn,Ego Lane
Town02_max_car,Town02_max_car/15_frame_3521.png,281,2,ego,atDRearOf,car_2
Town02_max_car,Town02_max_car/15_frame_3521.png,281,3,ego,toLeftOf,car_2
Town02_max_car,Town02_max_car/15_frame_3521.png,281,4,ego,near,car_2
Town02_max_car,Town02_max_car/15_frame_3521.png,281,5,ego,atDRearOf,car_3
Town02_max_car,Town02_max_car/15_frame_3521.png,281,6,ego,toLeftOf,car_3
Town02_max_car,Town02_max_car/15_frame_3521.png,281,7,ego,super_near,car_3
Town02_max_car,Town02_max_car/15_frame_3521.png,281,8,ego,atDRearOf,car_4
Town02_max_car,Town02_max_car/15_frame_3521.png,281,9,ego,toLeftOf,car_4
Town02_max_car,Town02_max_car/15_frame_3521.png,281,10,ego,visible,car_4
Town02_max_car,Town02_max_car/15_frame_3521.png,281,11,ego,atDRearOf,truck_0
Town02_max_car,Town02_max_car/15_frame_3521.png,281,12,ego,toLeftOf,truck_0
